time,ETH open,ETH high,ETH low,ETH close,ETH volume,ETH quoteVolume
2019-03-20 00:00:00+00:00,138.0,139.275,135.58,138.856,2170.43121201,298507.99359170767
2019-03-21 00:00:00+00:00,138.644,139.064,132.16,134.669,3953.11925017,537322.2935852556
2019-03-22 00:00:00+00:00,134.52,136.857,134.05,135.941,3476.09590105,471962.0177183114
2019-03-23 00:00:00+00:00,135.761,137.515,135.372,136.26,1882.711386,256409.8501130982
2019-03-24 00:00:00+00:00,136.184,136.484,134.281,135.538,1098.30983544,148814.18449272707
2019-03-25 00:00:00+00:00,135.263,136.165,130.904,133.136,2861.06108495,379645.96816605626
2019-03-26 00:00:00+00:00,133.168,133.99,131.602,132.92,1958.6857025,260155.62788388453
2019-03-27 00:00:00+00:00,133.096,139.607,133.096,139.45,3615.15599198,496627.13435419864
2019-03-28 00:00:00+00:00,138.669,138.879,136.951,137.364,1067.52322869,146807.03224799017
2019-03-29 00:00:00+00:00,137.611,142.901,137.158,142.771,3253.03076889,455468.33552318113
2019-03-30 00:00:00+00:00,142.87,145.439,140.15,142.231,1930.46777066,275757.95522157406
2019-03-31 00:00:00+00:00,142.307,142.307,140.062,141.296,1579.87776059,222135.2351937096
2019-04-01 00:00:00+00:00,140.812,142.761,139.137,141.298,2642.71114798,374240.5121863729
2019-04-02 00:00:00+00:00,140.85,167.244,140.85,165.03,20183.11796598,3108456.379965562
2019-04-03 00:00:00+00:00,164.717,180.104,151.542,160.954,23766.227512,4005703.6550025567
2019-04-04 00:00:00+00:00,160.905,165.09,152.877,157.348,9768.51722746,1548419.423092643
2019-04-05 00:00:00+00:00,157.417,168.428,156.456,165.853,4203.40611788,680968.5603473702
2019-04-06 00:00:00+00:00,166.191,173.13,160.607,165.835,4787.51382561,791495.1239993214
2019-04-07 00:00:00+00:00,165.483,176.51,164.15,174.889,5653.11173022,960952.3879571303
2019-04-08 00:00:00+00:00,174.679,187.48,174.0,180.9,9495.90160363,1717459.416751716
2019-04-09 00:00:00+00:00,180.083,180.769,174.46,175.9,3953.10063973,699468.1326309165
2019-04-10 00:00:00+00:00,175.978,185.141,170.599,177.478,8662.37169875,1561251.5761393195
2019-04-11 00:00:00+00:00,177.817,177.817,160.342,165.12,11429.50996355,1910534.2127076052
2019-04-12 00:00:00+00:00,164.99,167.354,159.628,164.394,4420.77456237,727823.4711066907
2019-04-13 00:00:00+00:00,164.394,166.333,162.246,164.121,4532.10261407,743558.5246240678
2019-04-14 00:00:00+00:00,164.216,169.0,161.803,168.414,2876.80749522,472794.9505233571
2019-04-15 00:00:00+00:00,168.414,169.249,156.003,160.268,5135.54216729,828579.780204173
2019-04-16 00:00:00+00:00,160.0,167.926,159.583,166.409,3041.99188745,496653.20322530216
2019-04-17 00:00:00+00:00,166.29,168.39,164.74,166.726,2397.75816455,398947.64401437726
2019-04-18 00:00:00+00:00,166.626,176.0,166.398,174.14,3731.34873306,642678.5820783448
2019-04-19 00:00:00+00:00,174.13,174.459,169.5,173.916,3842.14781782,661198.9584056757
2019-04-20 00:00:00+00:00,173.916,177.83,170.869,173.41,5614.52206714,979090.8006345228
2019-04-21 00:00:00+00:00,174.003,174.353,166.667,170.019,2693.88014983,456883.77737789776
2019-04-22 00:00:00+00:00,170.208,173.538,168.163,171.51,2992.43028293,512376.35210963216
2019-04-23 00:00:00+00:00,171.56,176.56,169.074,170.893,5267.81337863,914801.3768056455
2019-04-24 00:00:00+00:00,170.334,170.944,160.271,165.619,7027.73794377,1171769.5947149582
2019-04-25 00:00:00+00:00,165.62,166.227,147.0,152.136,8658.96399099,1377950.704231899
2019-04-26 00:00:00+00:00,151.878,155.727,148.596,153.124,7483.75653588,1130661.2757705767
2019-04-27 00:00:00+00:00,153.124,158.369,152.514,155.425,1126.44122681,174695.79713249655
2019-04-28 00:00:00+00:00,155.507,156.542,152.566,153.543,1821.28131642,282887.85752625857
2019-04-29 00:00:00+00:00,153.405,154.44,148.9,152.488,1687.70764002,256883.4541778004
2019-04-30 00:00:00+00:00,152.732,160.929,152.732,160.221,4107.60244992,642405.8064008866
2019-05-01 00:00:00+00:00,160.189,162.85,156.804,158.468,3828.1723774,612695.0678746256
2019-05-02 00:00:00+00:00,158.468,160.199,156.086,159.293,1639.79575979,259465.59219353742
2019-05-03 00:00:00+00:00,158.461,169.0,157.804,164.8,2809.15079222,461930.0987541141
2019-05-04 00:00:00+00:00,164.8,168.72,158.261,162.032,2525.60016376,408720.9798749913
2019-05-05 00:00:00+00:00,162.513,163.442,157.387,161.457,2183.72594819,350047.99238197104
2019-05-06 00:00:00+00:00,161.28,175.5,157.975,171.5,4194.5076692,698522.8780294618
2019-05-07 00:00:00+00:00,173.483,181.0,165.677,166.422,8688.28087595,1516182.446713284
2019-05-08 00:00:00+00:00,165.246,171.819,162.409,169.596,3043.26148231,508472.27532216127
2019-05-09 00:00:00+00:00,169.12,173.0,165.36,169.93,4620.21742588,775520.2112363258
2019-05-10 00:00:00+00:00,169.93,176.01,167.678,172.14,6920.5620729,1194518.0422119575
2019-05-11 00:00:00+00:00,172.028,206.92,172.028,193.0,20566.57508695,3889367.0816643047
